,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
148,Namibe,12,AO,1535161405,100,-15.19,12.15,64.47,3.04
149,Guerrero Negro,0,MX,1535161406,83,27.97,-114.04,72.66,11.21
150,Westport,88,IE,1535161408,93,53.8,-9.52,51.96,8.41
151,Nova Vicosa,8,BR,1535161410,94,-17.89,-39.37,69.87,8.08
152,Nacimiento,32,CL,1535161156,89,-37.5,-72.67,35.76,5.17
153,Walvis Bay,88,NA,1535161413,100,-22.95,14.51,52.68,6.96
154,Dikson,12,RU,1535161415,83,73.51,80.55,51.78,11.1
155,Sakaiminato,75,JP,1535158800,62,35.55,133.23,87.8,8.05
156,Paciran,0,ID,1535161418,48,-6.9,112.33,87.24,3.94
157,Kupino,80,RU,1535161419,85,54.36,77.31,65.82,4.05
158,Flin Flon,92,CA,1535161421,100,54.77,-101.88,47.37,9.08
159,Isangel,76,VU,1535161423,100,-19.55,169.27,72.57,18.7
160,Karratha,0,AU,1535161424,21,-20.74,116.85,78.15,15.01
161,Tautira,40,PF,1535157000,62,-17.73,-149.15,84.2,18.34
162,Jaisinghnagar,92,IN,1535161427,93,23.63,78.57,75.81,13.78
163,Uyuni,0,BO,1535161429,62,-20.46,-66.82,24.6,5.17
164,Airai,12,TL,1535161430,48,-8.93,125.41,82.56,0.58
165,Lincoln,1,US,1535159700,69,40.8,-96.67,80.96,4.7
166,Clyde River,1,CA,1535158800,100,70.47,-68.59,37.4,19.46
167,Panama City,1,US,1535158560,91,30.16,-85.65,79.88,6.96
168,Lingyuan,0,CN,1535161437,52,41.24,119.4,74.64,8.63
169,Belyy Yar,0,RU,1535158800,82,53.6,91.39,59.0,4.16
170,Saint-Philippe,1,CA,1535160900,91,45.36,-73.48,75.2,7.52
171,Dubbo,90,AU,1535158800,67,-32.25,148.6,59.0,11.41
172,Waingapu,0,ID,1535161566,52,-9.65,120.26,84.0,5.06
173,Mocuba,0,MZ,1535161568,81,-16.84,36.99,63.66,2.59
174,Runcu,0,RO,1535160600,72,44.59,26.21,68.0,5.82
175,Valreas,0,FR,1535160600,52,44.38,4.99,68.0,17.22
176,Bereda,0,ES,1535160600,87,43.27,-7.54,57.2,3.36
177,Nueva Guinea,92,NI,1535161575,85,11.69,-84.46,78.33,4.61
178,Lagoa,0,PT,1535160600,41,37.14,-8.45,78.8,1.12
179,La Ronge,90,CA,1535158800,87,55.1,-105.3,44.6,12.75
180,Leh,88,IN,1535161583,82,34.16,77.58,35.31,0.36
181,Nouadhibou,0,MR,1535161585,84,20.93,-17.03,74.01,5.06
182,College,90,US,1535159700,76,64.86,-147.8,55.94,10.29
183,Cockburn Town,44,TC,1535161588,95,21.46,-71.14,84.27,19.6
184,Mar del Plata,8,AR,1535161589,64,-46.43,-67.52,43.95,17.02
185,Morgan City,20,US,1535159700,87,29.7,-91.21,80.96,3.36
186,Vostok,80,RU,1535161524,59,46.45,135.83,68.79,4.16
187,San Cristobal,75,EC,1535158800,71,-0.39,-78.55,53.6,14.99
188,Krasnoborsk,88,RU,1535161597,93,61.56,45.93,50.7,4.5
189,Talcahuano,0,CL,1535158800,75,-36.72,-73.12,46.4,10.29
190,Aklavik,75,CA,1535158800,54,68.22,-135.01,53.6,2.24
191,Becal,75,MX,1535158320,74,20.44,-90.03,80.6,5.82
192,Laguna,20,MX,1535157720,47,27.52,-110.01,95.0,8.05
193,Vadinsk,0,RU,1535161604,75,53.69,43.04,47.55,2.59
194,Balabac,92,PH,1535161606,98,7.99,117.06,85.17,5.61
195,Anloga,40,GH,1535158800,94,5.79,0.9,75.2,10.29
196,Tasiilaq,88,GL,1535158200,86,65.61,-37.64,39.2,5.82
197,Grindavik,20,IS,1535158800,93,63.84,-22.43,48.2,10.29
198,Clinton,1,US,1535159700,74,30.87,-91.02,84.02,6.96
199,Ivdel,92,RU,1535161614,97,60.7,60.42,57.99,10.54
200,Shingu,75,JP,1535158800,88,33.72,135.99,82.4,10.29
201,Luoyang,0,CN,1535161617,76,34.66,112.42,81.66,6.62
202,Souillac,75,FR,1535160600,82,45.6,-0.6,57.2,4.5
203,Ron Phibun,75,TH,1535158800,79,8.18,99.85,84.2,2.71
204,Alvorada,75,BR,1535158800,93,-30.0,-51.08,59.0,16.11
205,Bilibino,92,RU,1535161545,97,68.06,166.44,38.64,3.38
206,Bathsheba,20,BB,1535158800,74,13.22,-59.52,80.6,13.87
207,Porbandar,92,IN,1535161626,92,21.64,69.61,79.14,17.47
208,Calama,0,CL,1535158800,9,-22.46,-68.93,55.4,4.7
209,Norman Wells,40,CA,1535158800,71,65.28,-126.83,55.4,13.87
210,Aleksandrovskoye,0,RU,1535161631,82,56.74,85.39,62.49,3.49
211,Sundern,56,DE,1535160000,58,51.33,8.01,57.2,9.17
212,Kavieng,44,PG,1535161596,100,-2.57,150.8,82.47,2.15
213,Ahipara,92,NZ,1535161578,85,-35.17,173.16,56.91,17.81
214,Zyryanskoye,0,RU,1535161639,89,56.83,86.62,62.22,4.16
215,Ekhabi,0,RU,1535161640,60,53.51,142.97,73.38,11.99
216,Sorland,92,NO,1535161545,100,67.67,12.69,53.67,22.5
217,Axim,92,GH,1535161644,98,4.87,-2.24,75.99,13.56
218,Avera,1,US,1535158500,60,33.19,-82.53,80.06,4.7
219,Bambous Virieux,20,MU,1535158800,78,-20.34,57.76,71.6,14.99
220,Tsiroanomandidy,0,MG,1535161648,83,-18.77,46.05,44.67,3.94
221,Bayanday,8,RU,1535161650,82,53.07,105.52,61.86,3.94
222,Pisco,0,PE,1535158800,82,-13.71,-76.2,60.8,13.87
223,Faanui,48,PF,1535161524,100,-16.48,-151.75,80.22,9.08
224,Bethel,90,US,1535158380,77,60.79,-161.76,53.96,16.11
225,Hithadhoo,8,MV,1535161591,100,-0.6,73.08,82.29,2.48
226,Elko,1,US,1535158560,3,40.83,-115.76,86.0,16.11
227,Nikolskoye,0,RU,1535158800,77,59.7,30.79,59.0,8.95
228,Gerede,0,TR,1535161660,76,40.8,32.2,50.52,2.15
229,Lamar,1,US,1535158380,22,38.09,-102.62,87.98,9.17
230,Tucuman,0,PE,1535161665,71,-17.17,-70.89,47.46,0.58
231,Hokitika,20,NZ,1535161667,92,-42.72,170.96,52.32,10.42
232,Ngunguru,48,NZ,1535161669,97,-35.62,174.5,58.44,22.06
233,Puyo,20,EC,1535161670,88,-1.48,-78.0,57.0,2.71
234,Lima,48,PE,1535161424,74,-12.06,-77.04,58.62,2.71
235,San Ramon de la Nueva Oran,12,AR,1535161674,45,-23.13,-64.33,52.86,5.95
236,Hambantota,32,LK,1535161609,92,6.12,81.12,81.84,16.8
237,Tromso,90,NO,1535158200,87,69.65,18.96,50.0,23.04
238,Tabou,92,CI,1535161565,100,4.42,-7.36,77.97,14.56
239,Naze,75,NG,1535158800,94,5.43,7.07,75.2,3.04
240,Tiarei,40,PF,1535160600,65,-17.53,-149.33,82.4,18.34
241,Sembakung,36,ID,1535161684,78,3.82,117.25,84.9,2.37
242,Ancud,92,CL,1535161482,98,-41.87,-73.83,44.76,10.65
243,Lavrentiya,32,RU,1535161686,96,65.58,-170.99,47.37,5.5
244,Valkeala,75,FI,1535160000,88,60.94,26.8,62.6,8.05
245,Hirara,75,JP,1535158800,79,24.8,125.28,86.0,8.05
246,Polunochnoye,92,RU,1535161691,97,60.87,60.43,57.99,10.54
247,Aksarka,44,RU,1535161693,83,66.56,67.8,59.16,4.61
248,Windhoek,0,NA,1535161695,38,-22.57,17.08,40.26,6.17
249,Srednekolymsk,32,RU,1535161696,67,67.46,153.71,48.54,4.94
250,Hanna,76,CA,1535161698,77,51.64,-111.93,53.22,7.74
251,Viedma,8,AR,1535161700,83,-40.81,-62.99,30.54,2.59
252,Taihe,0,CN,1535161702,55,26.8,114.92,87.06,11.43
253,Ushtobe,24,KZ,1535161703,33,45.25,77.98,76.17,7.52
254,Christchurch,0,NZ,1535158800,53,-43.53,172.64,50.0,12.75
255,Saint George,20,GR,1535158200,68,39.45,22.34,68.0,4.7
256,Seymchan,76,RU,1535161709,65,62.93,152.39,57.27,7.63
257,Constantine,0,DZ,1535160600,93,36.36,6.61,62.6,3.71
258,La Mesa,1,US,1535158560,65,32.77,-117.02,77.0,6.93
259,Castro,92,CL,1535161699,100,-42.48,-73.76,43.86,11.54
260,Vila,75,IT,1535160000,78,45.18,8.4,71.6,11.41
261,Bainbridge,90,US,1535159700,88,30.9,-84.58,84.92,11.41
262,Saint-Francois,0,FR,1535160600,81,46.42,3.91,51.8,3.36
263,Khuzhir,24,RU,1535161721,84,53.19,107.35,60.06,4.05
264,Nyurba,48,RU,1535161723,75,63.29,118.35,59.61,3.6
265,Cuamba,0,MZ,1535161725,70,-14.8,36.54,61.95,3.15
266,Mahebourg,20,MU,1535158800,78,-20.41,57.7,71.6,14.99
267,Creston,1,US,1535160900,83,41.06,-94.36,80.06,5.82
268,Honningsvag,100,NO,1535161447,97,70.98,25.97,50.79,16.58
269,Mehamn,92,NO,1535161731,97,71.03,27.85,50.07,18.03
270,Cayenne,0,GF,1535158800,94,4.94,-52.33,77.0,2.24
271,Olinda,75,EC,1535158800,78,-2.03,-79.75,73.4,11.41
272,San Vicente,40,SV,1535158200,100,13.64,-88.78,82.4,3.36
273,Valparaiso,90,US,1535159700,70,41.47,-87.06,69.08,14.99
274,Port Blair,92,IN,1535161740,100,11.67,92.75,78.24,24.07
275,Acapulco,75,MX,1535158080,74,16.86,-99.88,84.2,8.05
276,Kruisfontein,0,ZA,1535161743,85,-34.0,24.73,56.64,7.18
277,Nanortalik,88,GL,1535161599,100,60.14,-45.24,40.62,33.24
278,Evensk,48,RU,1535161746,97,61.92,159.24,53.31,8.08
279,Chuy,92,UY,1535161560,100,-33.69,-53.46,48.09,31.79
280,Adrar,0,DZ,1535158800,23,27.87,-0.29,87.8,11.41
281,Cordoba,20,CO,1535161694,75,5.59,-73.79,49.08,2.04
282,Sao Filipe,88,CV,1535161754,100,14.9,-24.5,77.16,6.51
283,Fabriano,0,IT,1535158200,88,43.34,12.9,66.2,3.36
284,Nizhniy Kuranakh,0,RU,1535161610,68,58.84,125.49,63.3,3.38
285,Trairi,0,BR,1535161759,97,-3.28,-39.27,79.95,17.25
286,Saskylakh,0,RU,1535161760,88,71.97,114.09,54.57,7.07
287,Rudnya,0,RU,1535161763,73,50.8,44.56,47.82,2.59
288,Marsh Harbour,48,BS,1535161704,99,26.54,-77.06,83.91,15.57
289,Balkanabat,8,TM,1535161766,39,39.51,54.36,66.99,3.38
290,Whitehorse,75,CA,1535158800,62,60.72,-135.06,57.2,3.36
291,Lere,88,TD,1535161769,97,9.66,14.23,70.86,3.6
292,Kosa,0,RU,1535161771,94,59.94,54.99,49.17,10.98
293,Launceston,75,AU,1535160600,66,-41.43,147.14,53.6,13.87
294,Batagay,0,RU,1535161775,68,67.65,134.64,57.09,12.66
295,San Jeronimito,75,MX,1535158080,66,17.55,-101.33,87.8,3.36
296,Kassala,8,SD,1535161735,96,15.45,36.38,68.07,4.94
297,Namatanai,68,PG,1535161780,100,-3.66,152.44,82.47,2.71
298,Barra do Garcas,68,BR,1535161761,57,-15.89,-52.26,79.32,7.74
299,Ormara,68,PK,1535161514,94,25.21,64.64,78.42,15.46
300,Margate,0,AU,1535160600,50,-43.03,147.26,57.2,12.75
301,Huinan,24,CN,1535161788,98,42.68,126.04,70.59,11.21
302,Vigeland,0,NO,1535160000,100,58.46,8.52,42.8,4.7
303,Constitucion,75,MX,1535158020,46,23.99,-104.67,71.6,8.05
304,Hasaki,75,JP,1535158800,66,35.73,140.83,89.6,18.34
305,Quesnel,90,CA,1535158800,42,52.98,-122.49,68.0,5.82
306,Rio Gallegos,0,AR,1535158800,60,-51.62,-69.22,39.2,13.87
307,Champerico,20,MX,1535157720,69,16.38,-93.6,80.6,13.87
308,Pearl Lagoon,88,NI,1535161799,100,12.34,-83.67,80.49,11.1
309,Shumskiy,0,RU,1535161800,76,54.83,99.13,65.64,2.93
310,Ahuimanu,90,US,1535159220,82,21.44,-157.84,82.94,19.46
311,Saldanha,0,PT,1535161628,80,41.42,-6.55,52.59,2.59
312,Pangody,64,RU,1535161650,60,65.85,74.49,64.74,4.72
313,Oudtshoorn,0,ZA,1535158800,76,-33.59,22.2,48.2,3.36
314,Chokurdakh,88,RU,1535161699,81,70.62,147.9,43.86,14.12
315,Komsomolskiy,80,RU,1535161810,99,67.55,63.78,47.91,14.0
316,Bryant,20,US,1535158560,76,34.6,-92.49,86.0,8.05
317,Khandyga,68,RU,1535161869,96,62.65,135.58,59.25,3.49
318,Terra Santa,0,BR,1535161816,53,-2.1,-56.49,85.35,5.95
319,La Grande,1,US,1535158560,31,45.32,-118.09,75.02,12.75
320,Pitimbu,75,BR,1535158800,100,-7.47,-34.81,71.6,8.05
321,Alekseyevsk,92,RU,1535161821,99,57.84,108.35,53.49,3.49
322,Codrington,76,AU,1535161573,82,-28.95,153.24,62.58,3.49
323,Matagami,92,NG,1535161824,99,9.67,8.4,66.54,3.6
324,Oranjemund,92,ZA,1535161826,100,-28.55,16.43,55.92,9.42
325,Leshukonskoye,12,RU,1535161828,89,64.9,45.76,46.92,4.05
326,Severnoye,0,RU,1535161830,91,54.09,52.54,57.99,8.08
327,Nishihara,40,JP,1535158800,59,35.74,139.53,93.2,9.17
328,Havelock,40,US,1535158680,73,34.88,-76.9,77.0,6.93
329,Narsaq,92,GL,1535158200,46,60.91,-46.05,53.6,10.29
330,Henties Bay,88,NA,1535161837,100,-22.12,14.28,51.24,4.72
331,Nantucket,1,US,1535159700,100,41.28,-70.1,71.06,4.7
332,Fairbanks,90,US,1535159700,76,64.84,-147.72,55.94,10.29
333,Praia da Vitoria,75,PT,1535158800,88,38.73,-27.07,73.4,9.08
334,Manyana,90,AU,1535158800,77,-35.26,150.51,60.8,8.05
335,Banyuwangi,0,ID,1535161846,77,-8.21,114.37,79.14,4.61
336,Paragominas,0,BR,1535161848,87,-3.0,-47.35,75.45,5.17
337,Urrao,92,CO,1535161850,99,6.32,-76.13,64.11,0.92
338,Naron,0,ES,1535160600,87,43.52,-8.15,57.2,3.36
339,North Bend,1,US,1535159700,69,43.41,-124.22,64.04,21.92
340,Beian,75,NO,1535158200,87,63.66,9.57,51.8,8.05
341,Nadapuram,92,IN,1535161857,96,11.7,75.65,71.4,1.59
342,Aripuana,36,BR,1535161859,82,-9.17,-60.63,76.17,1.7
343,Sept-Iles,90,CA,1535158800,54,50.2,-66.38,59.0,5.82
344,Vestmanna,88,FO,1535160000,76,62.16,-7.17,48.2,19.46
345,Villa Carlos Paz,0,AR,1535158800,30,-31.42,-64.5,42.8,8.05
346,Cherskiy,76,RU,1535161866,90,68.75,161.3,39.9,5.95
347,Broome,8,GB,1535160000,93,52.47,1.45,48.2,9.17
348,Stendal,76,DE,1535161871,65,52.61,11.86,56.46,6.73
349,Lhokseumawe,44,ID,1535161872,97,5.18,97.15,84.54,4.38
350,Ust-Maya,76,RU,1535161638,86,60.42,134.54,58.71,4.5
351,Lompoc,1,US,1535160900,60,34.64,-120.46,68.0,11.41
352,Hofn,12,IS,1535161878,100,64.25,-15.21,46.02,4.5
353,Alta Floresta,20,BR,1535161882,74,-9.87,-56.08,78.69,1.92
354,Copiapo,0,CL,1535158800,81,-27.37,-70.33,51.8,2.24
355,Ponta do Sol,32,BR,1535161886,66,-20.63,-46.0,63.57,5.95
356,Winton,0,AU,1535161888,46,-22.38,143.04,74.37,9.53
357,Kampot,92,KH,1535161889,82,10.62,104.18,81.39,4.61
358,Longyearbyen,40,NO,1535158200,64,78.22,15.63,39.2,12.75
359,Zabaykalsk,80,CN,1535161895,63,49.64,117.33,75.36,4.5
360,The Valley,20,AI,1535158800,69,18.22,-63.06,82.4,11.41
361,Quatre Cocos,20,MU,1535158800,78,-20.21,57.76,71.6,14.99
362,Kaihua,68,CN,1535161901,73,29.14,118.41,78.78,5.5
363,Jinji,20,CN,1535161903,84,22.16,112.49,87.69,3.15
364,Sangin,0,AF,1535161905,64,32.07,64.85,69.42,3.15
365,Coquimbo,0,CL,1535158800,71,-29.95,-71.34,53.6,4.7
366,Talaya,0,RU,1535161908,75,55.79,84.89,65.37,4.38
367,Broken Hill,0,AU,1535161911,50,-31.97,141.45,62.67,13.56
368,Zhangjiakou,20,CN,1535161913,61,40.77,114.88,73.47,4.38
369,Shahdadkot,0,PK,1535161915,72,27.85,67.91,83.64,3.71
370,Anshun,68,CN,1535161917,80,26.25,105.93,73.56,4.5
371,Lucera,0,IT,1535161919,95,41.51,15.34,61.41,2.93
372,Aitape,64,PG,1535161920,100,-3.15,142.36,80.49,3.38
373,Kandrian,92,PG,1535161947,94,-6.21,149.55,77.97,3.6
374,Okato,56,NZ,1535161948,96,-39.19,173.88,55.2,24.18
